model,task,story_id,repetition,emergence_point
deepseek7b,false_belief,fb060,3,3
deepseek7b,false_belief,fb060,2,4
deepseek7b,false_belief,fb060,1,3
deepseek7b,false_belief,fb059,1,3
deepseek7b,false_belief,fb059,3,
deepseek7b,false_belief,fb059,2,
deepseek7b,false_belief,fb058,3,4
deepseek7b,false_belief,fb058,2,3
deepseek7b,false_belief,fb058,1,4
deepseek7b,false_belief,fb057,3,4
deepseek7b,false_belief,fb057,1,3
deepseek7b,false_belief,fb057,2,4
deepseek7b,false_belief,fb056,3,4
deepseek7b,false_belief,fb056,2,3
deepseek7b,false_belief,fb056,1,4
deepseek7b,false_belief,fb055,3,4
deepseek7b,false_belief,fb055,2,
deepseek7b,false_belief,fb055,1,
deepseek7b,false_belief,fb054,3,4
deepseek7b,false_belief,fb054,2,3
deepseek7b,false_belief,fb054,1,3
deepseek7b,false_belief,fb053,3,3
deepseek7b,false_belief,fb053,2,4
deepseek7b,false_belief,fb053,1,3
deepseek7b,false_belief,fb052,3,3
deepseek7b,false_belief,fb052,2,1
deepseek7b,false_belief,fb052,1,
deepseek7b,false_belief,fb051,3,
deepseek7b,false_belief,fb051,2,
deepseek7b,false_belief,fb051,1,
deepseek7b,false_belief,fb050,3,3
deepseek7b,false_belief,fb050,2,4
deepseek7b,false_belief,fb049,1,3
deepseek7b,false_belief,fb050,1,4
deepseek7b,false_belief,fb049,2,3
deepseek7b,false_belief,fb048,3,4
deepseek7b,false_belief,fb048,2,4
deepseek7b,false_belief,fb048,1,5
deepseek7b,false_belief,fb047,3,4
deepseek7b,false_belief,fb047,1,4
deepseek7b,false_belief,fb047,2,3
deepseek7b,false_belief,fb046,3,
deepseek7b,false_belief,fb046,2,3
deepseek7b,false_belief,fb049,3,
deepseek7b,false_belief,fb046,1,
deepseek7b,false_belief,fb045,3,
deepseek7b,false_belief,fb045,2,
deepseek7b,false_belief,fb045,1,
deepseek7b,false_belief,fb044,3,3
deepseek7b,false_belief,fb044,2,3
deepseek7b,false_belief,fb044,1,5
deepseek7b,false_belief,fb043,2,3
deepseek7b,false_belief,fb043,3,
deepseek7b,false_belief,fb043,1,3
deepseek7b,false_belief,fb042,3,3
deepseek7b,false_belief,fb042,2,
deepseek7b,false_belief,fb042,1,3
deepseek7b,false_belief,fb041,3,4
deepseek7b,false_belief,fb041,2,4
deepseek7b,false_belief,fb041,1,3
deepseek7b,false_belief,fb040,3,4
deepseek7b,false_belief,fb040,2,5
deepseek7b,false_belief,fb040,1,
deepseek7b,false_belief,fb039,3,4
deepseek7b,false_belief,fb039,1,3
deepseek7b,false_belief,fb039,2,4
deepseek7b,false_belief,fb038,3,
deepseek7b,false_belief,fb038,2,3
deepseek7b,false_belief,fb038,1,
deepseek7b,false_belief,fb037,3,3
deepseek7b,false_belief,fb037,2,4
deepseek7b,false_belief,fb037,1,3
deepseek7b,false_belief,fb036,3,3
deepseek7b,false_belief,fb036,1,3
deepseek7b,false_belief,fb036,2,3
deepseek7b,false_belief,fb035,3,3
deepseek7b,false_belief,fb035,1,3
deepseek7b,false_belief,fb035,2,3
deepseek7b,false_belief,fb034,3,3
deepseek7b,false_belief,fb034,2,4
deepseek7b,false_belief,fb034,1,
deepseek7b,false_belief,fb033,3,3
deepseek7b,false_belief,fb033,2,
deepseek7b,false_belief,fb032,3,3
deepseek7b,false_belief,fb033,1,
deepseek7b,false_belief,fb032,2,
deepseek7b,false_belief,fb031,3,3
deepseek7b,false_belief,fb032,1,5
deepseek7b,false_belief,fb031,2,4
deepseek7b,false_belief,fb031,1,
deepseek7b,false_belief,fb030,3,3
deepseek7b,false_belief,fb030,2,3
deepseek7b,false_belief,fb030,1,4
deepseek7b,false_belief,fb029,3,3
deepseek7b,false_belief,fb029,2,
deepseek7b,false_belief,fb029,1,5
deepseek7b,false_belief,fb028,3,4
deepseek7b,implicature,swmimp118,1,
deepseek7b,implicature,swmimp117,3,
deepseek7b,implicature,swmimp117,2,
deepseek7b,implicature,swmimp117,1,
deepseek7b,implicature,swmimp116,3,
deepseek7b,implicature,swmimp116,2,
deepseek7b,implicature,swmimp116,1,
deepseek7b,implicature,swmimp115,3,
deepseek7b,implicature,swmimp115,2,
deepseek7b,implicature,swmimp115,1,
deepseek7b,implicature,swmimp114,3,
deepseek7b,implicature,swmimp114,2,
deepseek7b,implicature,swmimp114,1,
deepseek7b,implicature,swmimp113,3,
deepseek7b,implicature,swmimp113,2,
deepseek7b,implicature,swmimp113,1,7
deepseek7b,implicature,swmimp112,3,
deepseek7b,implicature,swmimp112,2,
deepseek7b,implicature,swmimp112,1,
deepseek7b,implicature,swmimp111,3,2
deepseek7b,implicature,swmimp111,2,1
deepseek7b,implicature,swmimp111,1,4
deepseek7b,implicature,swmimp110,3,1
deepseek7b,implicature,swmimp110,2,1
deepseek7b,implicature,swmimp110,1,1
deepseek7b,implicature,swmimp109,3,
deepseek7b,implicature,swmimp109,2,
deepseek7b,implicature,swmimp109,1,
deepseek7b,implicature,swmimp108,3,
deepseek7b,implicature,swmimp108,2,
deepseek7b,implicature,swmimp108,1,
deepseek7b,implicature,swmimp107,3,
deepseek7b,implicature,swmimp107,2,
deepseek7b,implicature,swmimp107,1,
deepseek7b,implicature,swmimp106,3,
deepseek7b,implicature,swmimp106,1,
deepseek7b,implicature,swmimp106,2,
deepseek7b,implicature,swmimp105,3,
deepseek7b,implicature,swmimp105,2,
deepseek7b,implicature,swmimp118,2,
deepseek7b,implicature,swmimp105,1,
deepseek7b,implicature,swmimp104,3,
deepseek7b,implicature,swmimp104,2,
deepseek7b,implicature,swmimp103,3,
deepseek7b,implicature,swmimp104,1,
deepseek7b,implicature,swmimp102,3,
deepseek7b,implicature,swmimp103,2,
deepseek7b,implicature,swmimp103,1,
deepseek7b,implicature,swmimp102,2,
deepseek7b,implicature,swmimp102,1,
deepseek7b,implicature,swmimp101,3,
deepseek7b,implicature,swmimp101,2,
deepseek7b,implicature,swmimp101,1,
deepseek7b,implicature,swmimp100,3,
deepseek7b,implicature,swmimp100,2,
deepseek7b,implicature,swmimp100,1,
deepseek7b,implicature,swmimp099,3,
deepseek7b,implicature,swmimp099,2,
deepseek7b,implicature,swmimp099,1,
deepseek7b,implicature,swmimp098,3,6
deepseek7b,implicature,swmimp098,2,
deepseek7b,implicature,swmimp098,1,
deepseek7b,implicature,swmimp097,3,3
deepseek7b,implicature,swmimp097,2,
deepseek7b,implicature,swmimp097,1,7
deepseek7b,implicature,swmimp096,3,
deepseek7b,implicature,swmimp096,2,5
deepseek7b,implicature,swmimp096,1,4
deepseek7b,implicature,swmimp095,3,
deepseek7b,implicature,swmimp095,2,
deepseek7b,implicature,swmimp095,1,
deepseek7b,implicature,swmimp094,3,
deepseek7b,implicature,swmimp094,2,
deepseek7b,implicature,swmimp094,1,5
deepseek7b,implicature,swmimp093,3,
deepseek7b,implicature,swmimp093,2,
deepseek7b,implicature,swmimp093,1,
deepseek7b,implicature,swmimp092,3,1
deepseek7b,implicature,swmimp092,2,
deepseek7b,implicature,swmimp092,1,
deepseek7b,implicature,swmimp091,3,
deepseek7b,implicature,swmimp091,2,
deepseek7b,implicature,swmimp091,1,
deepseek7b,implicature,swmimp090,3,
deepseek7b,implicature,swmimp090,2,
deepseek7b,implicature,swmimp090,1,
deepseek7b,implicature,swmimp089,3,
deepseek7b,implicature,swmimp089,2,
deepseek7b,implicature,swmimp089,1,
deepseek7b,implicature,swmimp088,3,
deepseek7b,implicature,swmimp088,2,
deepseek7b,implicature,swmimp088,1,
deepseek7b,implicature,swmimp087,3,4
deepseek7b,implicature,swmimp200,3,
deepseek7b,implicature,swmimp087,1,
deepseek7b,implicature,swmimp200,2,
deepseek7b,implicature,swmimp087,2,
deepseek7b,implicature,swmimp200,1,
deepseek7b,implicature,swmimp086,3,
deepseek7b,implicature,swmimp199,3,
deepseek7b,implicature,swmimp086,2,
deepseek7b,implicature,swmimp199,2,3
deepseek7b,implicature,swmimp086,1,
deepseek7b,implicature,swmimp198,2,
deepseek7b,implicature,swmimp085,3,
deepseek7b,implicature,swmimp085,2,
deepseek7b,implicature,swmimp198,3,
deepseek7b,implicature,swmimp085,1,
deepseek7b,implicature,swmimp197,2,
deepseek7b,implicature,swmimp084,3,
deepseek7b,implicature,swmimp197,3,
deepseek7b,implicature,swmimp084,2,
deepseek7b,implicature,swmimp084,1,
deepseek7b,implicature,swmimp199,1,
deepseek7b,implicature,swmimp197,1,
deepseek7b,implicature,swmimp083,3,
deepseek7b,implicature,swmimp196,3,
deepseek7b,implicature,swmimp083,2,
deepseek7b,implicature,swmimp198,1,
deepseek7b,implicature,swmimp196,2,
deepseek7b,implicature,swmimp083,1,
deepseek7b,implicature,swmimp196,1,
deepseek7b,implicature,swmimp082,2,
deepseek7b,implicature,swmimp195,3,
deepseek7b,implicature,swmimp082,3,
deepseek7b,implicature,swmimp195,2,
deepseek7b,implicature,swmimp082,1,
deepseek7b,implicature,swmimp195,1,
deepseek7b,implicature,swmimp081,2,
deepseek7b,implicature,swmimp194,3,
deepseek7b,implicature,swmimp081,3,
deepseek7b,implicature,swmimp194,2,
deepseek7b,implicature,swmimp081,1,
deepseek7b,implicature,swmimp194,1,
deepseek7b,implicature,swmimp080,2,
deepseek7b,implicature,swmimp193,3,
deepseek7b,implicature,swmimp080,3,
deepseek7b,implicature,swmimp193,1,2
deepseek7b,implicature,swmimp080,1,5
deepseek7b,implicature,swmimp193,2,
deepseek7b,implicature,swmimp079,3,7
deepseek7b,implicature,swmimp192,3,1
deepseek7b,implicature,swmimp079,2,7
deepseek7b,implicature,swmimp192,1,1
deepseek7b,implicature,swmimp079,1,8
deepseek7b,implicature,swmimp192,2,3
deepseek7b,implicature,swmimp078,3,
deepseek7b,implicature,swmimp191,3,
deepseek7b,implicature,swmimp078,2,
deepseek7b,implicature,swmimp191,2,
deepseek7b,implicature,swmimp078,1,
deepseek7b,implicature,swmimp191,1,
deepseek7b,implicature,swmimp077,3,
deepseek7b,implicature,swmimp190,3,
deepseek7b,implicature,swmimp077,2,
deepseek7b,implicature,swmimp190,2,
deepseek7b,implicature,swmimp077,1,
deepseek7b,implicature,swmimp190,1,
deepseek7b,implicature,swmimp076,3,4
deepseek7b,implicature,swmimp189,3,
deepseek7b,implicature,swmimp076,2,3
deepseek7b,implicature,swmimp189,2,1
deepseek7b,implicature,swmimp076,1,
deepseek7b,implicature,swmimp189,1,
deepseek7b,implicature,swmimp075,3,3
deepseek7b,implicature,swmimp188,3,3
deepseek7b,implicature,swmimp075,2,3
deepseek7b,implicature,swmimp188,2,
deepseek7b,implicature,swmimp074,3,
deepseek7b,implicature,swmimp188,1,5
deepseek7b,implicature,swmimp075,1,1
deepseek7b,implicature,swmimp187,3,
deepseek7b,implicature,swmimp074,2,
deepseek7b,implicature,swmimp187,2,
deepseek7b,implicature,swmimp074,1,
deepseek7b,implicature,swmimp187,1,
deepseek7b,implicature,swmimp073,3,7
deepseek7b,implicature,swmimp186,3,
deepseek7b,implicature,swmimp073,2,2
deepseek7b,implicature,swmimp186,2,
deepseek7b,implicature,swmimp073,1,7
deepseek7b,implicature,swmimp186,1,
deepseek7b,implicature,swmimp072,3,2
deepseek7b,implicature,swmimp185,3,5
deepseek7b,implicature,swmimp072,2,1
deepseek7b,implicature,swmimp185,2,
deepseek7b,implicature,swmimp072,1,1
deepseek7b,implicature,swmimp185,1,
deepseek7b,implicature,swmimp071,3,
deepseek7b,implicature,swmimp184,3,
deepseek7b,implicature,swmimp071,2,
deepseek7b,implicature,swmimp184,2,
deepseek7b,implicature,swmimp071,1,
deepseek7b,implicature,swmimp184,1,
deepseek7b,implicature,swmimp070,3,
deepseek7b,implicature,swmimp183,3,
deepseek7b,implicature,swmimp070,2,
deepseek7b,implicature,swmimp183,2,
deepseek7b,implicature,swmimp070,1,
deepseek7b,implicature,swmimp183,1,
deepseek7b,implicature,swmimp069,2,
deepseek7b,implicature,swmimp182,3,
deepseek7b,implicature,swmimp069,3,
deepseek7b,implicature,swmimp182,2,
deepseek7b,implicature,swmimp068,2,2
deepseek7b,implicature,swmimp182,1,
deepseek7b,implicature,swmimp069,1,
deepseek7b,implicature,swmimp181,3,8
deepseek7b,implicature,swmimp068,3,1
deepseek7b,implicature,swmimp181,2,
deepseek7b,implicature,swmimp068,1,7
deepseek7b,implicature,swmimp181,1,
deepseek7b,implicature,swmimp067,3,
deepseek7b,implicature,swmimp180,3,
deepseek7b,implicature,swmimp067,2,
deepseek7b,implicature,swmimp180,2,1
deepseek7b,implicature,swmimp067,1,
deepseek7b,implicature,swmimp180,1,
deepseek7b,implicature,swmimp066,3,
deepseek7b,implicature,swmimp179,3,
deepseek7b,implicature,swmimp066,2,4
deepseek7b,implicature,swmimp179,2,7
deepseek7b,implicature,swmimp066,1,
deepseek7b,implicature,swmimp179,1,
deepseek7b,implicature,swmimp065,3,
deepseek7b,implicature,swmimp178,3,7
deepseek7b,implicature,swmimp065,2,
deepseek7b,implicature,swmimp178,2,12
deepseek7b,implicature,swmimp065,1,
deepseek7b,implicature,swmimp178,1,3
deepseek7b,implicature,swmimp064,3,
deepseek7b,implicature,swmimp177,3,
deepseek7b,implicature,swmimp064,2,
deepseek7b,implicature,swmimp177,2,
deepseek7b,implicature,swmimp064,1,
deepseek7b,implicature,swmimp177,1,2
deepseek7b,implicature,swmimp063,3,
deepseek7b,implicature,swmimp176,3,
deepseek7b,implicature,swmimp063,2,
deepseek7b,implicature,swmimp176,2,
deepseek7b,implicature,swmimp063,1,
deepseek7b,implicature,swmimp176,1,
deepseek7b,implicature,swmimp062,3,
deepseek7b,implicature,swmimp175,3,4
deepseek7b,implicature,swmimp062,2,
deepseek7b,implicature,swmimp175,2,3
deepseek7b,implicature,swmimp062,1,
deepseek14b,false_belief,fb032,1,3
deepseek14b,false_belief,fb031,1,5
deepseek14b,false_belief,fb031,2,5
deepseek14b,false_belief,fb030,1,3
deepseek14b,false_belief,fb030,3,3
qwen14b,implicature,swmimp009,3,1
qwen14b,implicature,swmimp009,2,1
qwen14b,implicature,swmimp009,1,2
qwen14b,implicature,swmimp008,1,1
qwen14b,implicature,swmimp010,1,3
qwen14b,implicature,swmimp008,3,1
qwen14b,implicature,swmimp007,3,7
qwen14b,implicature,swmimp008,2,2
qwen14b,implicature,swmimp007,2,6
qwen14b,implicature,swmimp006,3,2
qwen14b,implicature,swmimp007,1,4
qwen14b,implicature,swmimp006,2,2
qwen14b,implicature,swmimp005,3,
qwen14b,implicature,swmimp005,2,
qwen14b,implicature,swmimp006,1,4
qwen14b,implicature,swmimp004,3,2
qwen14b,implicature,swmimp005,1,
qwen14b,implicature,swmimp004,2,2
qwen14b,implicature,swmimp004,1,2
qwen14b,implicature,swmimp003,2,4
qwen14b,implicature,swmimp002,3,
qwen14b,implicature,swmimp002,1,
qwen14b,implicature,swmimp003,3,
qwen14b,implicature,swmimp002,2,3
qwen14b,implicature,swmimp003,1,
qwen14b,implicature,swmimp001,3,4
qwen14b,implicature,swmimp001,2,3
qwen14b,implicature,swmimp001,1,4
qwen14b,faux_pas,sfp010,3,3
qwen14b,faux_pas,sfp010,2,4
qwen14b,faux_pas,sfp010,1,3
qwen14b,faux_pas,sfp009,3,4
qwen14b,faux_pas,sfp009,2,4
qwen14b,faux_pas,sfp008,3,5
qwen14b,faux_pas,sfp009,1,4
qwen14b,faux_pas,sfp008,2,5
qwen14b,faux_pas,sfp008,1,5
qwen14b,faux_pas,sfp007,3,5
qwen14b,faux_pas,sfp007,2,5
qwen14b,faux_pas,sfp007,1,5
qwen14b,faux_pas,sfp006,3,3
qwen14b,faux_pas,sfp006,2,3
qwen14b,faux_pas,sfp006,1,3
qwen14b,faux_pas,sfp005,3,3
qwen14b,faux_pas,sfp005,2,3
qwen14b,faux_pas,sfp005,1,3
qwen14b,faux_pas,sfp004,3,4
qwen14b,faux_pas,sfp004,2,4
qwen14b,faux_pas,sfp004,1,4
qwen14b,faux_pas,sfp003,3,5
qwen14b,faux_pas,sfp003,2,5
qwen14b,faux_pas,sfp003,1,5
qwen14b,faux_pas,sfp002,3,5
qwen14b,faux_pas,sfp002,2,5
qwen14b,faux_pas,sfp001,3,4
qwen14b,faux_pas,sfp002,1,5
qwen14b,false_belief,sfp020,2,4
qwen14b,faux_pas,sfp001,1,3
qwen14b,false_belief,sfp020,3,1
qwen14b,faux_pas,sfp001,2,4
qwen14b,false_belief,sfp020,1,5
qwen14b,false_belief,sfp019,3,2
qwen14b,false_belief,sfp019,1,1
qwen14b,false_belief,sfp019,2,1
qwen14b,false_belief,sfp018,3,3
qwen14b,false_belief,sfp018,2,1
qwen14b,false_belief,sfp018,1,1
qwen14b,false_belief,sfp017,3,2
qwen14b,false_belief,sfp017,2,3
qwen14b,false_belief,sfp016,3,4
qwen14b,false_belief,sfp017,1,2
qwen14b,false_belief,sfp016,2,4
qwen14b,false_belief,sfp016,1,1
qwen14b,false_belief,sfp015,3,2
qwen14b,false_belief,sfp015,2,3
qwen14b,false_belief,sfp014,3,1
qwen14b,false_belief,sfp014,1,1
qwen14b,false_belief,sfp014,2,3
qwen14b,false_belief,sfp013,3,2
qwen14b,false_belief,sfp015,1,4
qwen14b,false_belief,sfp013,1,1
qwen14b,false_belief,sfp013,2,1
qwen14b,false_belief,sfp012,3,2
qwen14b,false_belief,sfp012,2,2
qwen14b,false_belief,sfp011,1,2
qwen14b,false_belief,sfp012,1,1
qwen14b,false_belief,sfp011,2,3
qwen14b,false_belief,fb060,3,5
qwen14b,false_belief,fb060,2,3
qwen14b,false_belief,fb060,1,3
qwen14b,false_belief,fb059,3,4
qwen14b,false_belief,fb059,2,4
qwen14b,false_belief,fb059,1,4
qwen14b,false_belief,fb058,3,3
qwen14b,false_belief,fb058,2,3
qwen14b,false_belief,fb058,1,4
qwen14b,false_belief,fb057,3,4
qwen14b,false_belief,fb056,2,4
qwen14b,false_belief,fb057,1,3
qwen14b,false_belief,fb056,3,5
qwen14b,false_belief,fb056,1,5
qwen14b,false_belief,sfp011,3,3
qwen14b,false_belief,fb055,3,5
qwen14b,false_belief,fb055,1,4
qwen14b,false_belief,fb055,2,4
qwen14b,false_belief,fb054,3,3
qwen14b,false_belief,fb054,2,5
qwen14b,false_belief,fb054,1,3
qwen14b,false_belief,fb053,2,3
qwen14b,false_belief,fb057,2,4
qwen14b,false_belief,fb053,1,5
qwen14b,false_belief,fb052,1,3
qwen14b,false_belief,fb053,3,3
qwen14b,false_belief,fb052,2,4
qwen14b,false_belief,fb051,1,4
qwen14b,false_belief,fb052,3,4
qwen14b,false_belief,fb051,3,3
qwen14b,false_belief,fb051,2,3
qwen14b,false_belief,fb050,3,5
qwen14b,false_belief,fb050,2,4
qwen14b,false_belief,fb050,1,4
qwen14b,false_belief,fb049,3,3
qwen14b,false_belief,fb049,2,3
qwen14b,false_belief,fb049,1,4
qwen14b,false_belief,fb048,3,5
qwen14b,false_belief,fb048,2,3
qwen14b,false_belief,fb048,1,5
qwen14b,false_belief,fb047,3,3
qwen14b,false_belief,fb047,2,4
qwen14b,false_belief,fb047,1,5
qwen14b,false_belief,fb046,3,5
qwen14b,false_belief,fb046,2,5
qwen14b,false_belief,fb046,1,
qwen14b,false_belief,fb045,3,3
qwen14b,false_belief,fb045,2,4
qwen14b,false_belief,fb045,1,4
qwen14b,false_belief,fb044,3,3
qwen14b,false_belief,fb044,2,3
qwen14b,false_belief,fb043,2,4
qwen14b,false_belief,fb044,1,3
qwen14b,false_belief,fb043,3,4
qwen14b,false_belief,fb043,1,4
qwen14b,false_belief,fb042,3,3
qwen14b,false_belief,fb042,2,4
qwen14b,false_belief,fb042,1,5
qwen14b,false_belief,fb041,3,3
qwen14b,false_belief,fb041,2,3
qwen14b,false_belief,fb041,1,3
qwen14b,false_belief,fb040,3,3
qwen14b,false_belief,fb040,2,4
qwen14b,false_belief,fb040,1,4
qwen14b,false_belief,fb039,3,5
qwen14b,false_belief,fb039,2,3
qwen14b,false_belief,fb039,1,3
qwen14b,false_belief,fb038,3,3
qwen14b,false_belief,fb038,2,5
qwen14b,false_belief,fb038,1,3
qwen14b,false_belief,fb037,3,4
qwen14b,false_belief,fb037,2,3
qwen14b,false_belief,fb037,1,4
qwen14b,false_belief,fb036,3,4
qwen14b,false_belief,fb036,2,6
qwen14b,false_belief,fb036,1,3
qwen14b,false_belief,fb035,3,3
qwen14b,false_belief,fb034,3,4
qwen14b,false_belief,fb035,2,3
qwen14b,false_belief,fb035,1,3
qwen14b,false_belief,fb034,2,3
qwen14b,false_belief,fb034,1,4
qwen14b,false_belief,fb033,3,3
deepseek14b,false_belief,fb026,3,3
qwen14b,implicature,swmimp123,2,1
deepseek14b,implicature,swmimp063,1,1
qwen14b,implicature,swmimp123,3,1
deepseek14b,implicature,swmimp062,3,
qwen14b,implicature,swmimp122,3,3
deepseek14b,implicature,swmimp062,2,
qwen14b,implicature,swmimp123,1,1
deepseek14b,implicature,swmimp062,1,
deepseek14b,implicature,swmimp061,3,
qwen14b,implicature,swmimp122,1,1
deepseek14b,implicature,swmimp061,2,3
qwen14b,implicature,swmimp122,2,1
qwen14b,implicature,swmimp121,3,6
deepseek14b,implicature,swmimp061,1,
qwen14b,implicature,swmimp121,2,2
deepseek14b,implicature,swmimp060,3,1
qwen14b,implicature,swmimp124,1,15
qwen14b,implicature,swmimp120,3,1
deepseek14b,implicature,swmimp060,2,3
qwen14b,implicature,swmimp121,1,2
deepseek14b,implicature,swmimp060,1,3
qwen14b,implicature,swmimp120,2,2
deepseek14b,implicature,swmimp059,3,
qwen14b,implicature,swmimp120,1,1
deepseek14b,implicature,swmimp059,2,
qwen14b,implicature,swmimp119,3,14
deepseek14b,implicature,swmimp059,1,3
qwen14b,implicature,swmimp119,2,1
deepseek14b,implicature,swmimp058,3,2
qwen14b,implicature,swmimp119,1,13
deepseek14b,implicature,swmimp058,2,3
qwen14b,implicature,swmimp118,1,3
deepseek14b,implicature,swmimp057,2,
qwen14b,implicature,swmimp118,3,3
deepseek14b,implicature,swmimp058,1,
qwen14b,implicature,swmimp117,3,5
deepseek14b,implicature,swmimp057,3,
qwen14b,implicature,swmimp118,2,4
deepseek14b,implicature,swmimp057,1,
qwen14b,implicature,swmimp117,2,1
deepseek14b,implicature,swmimp056,3,
qwen14b,implicature,swmimp117,1,5
deepseek14b,implicature,swmimp056,2,
qwen14b,implicature,swmimp116,3,1
deepseek14b,implicature,swmimp056,1,
qwen14b,implicature,swmimp115,3,4
deepseek14b,implicature,swmimp055,3,1
deepseek14b,implicature,swmimp055,2,1
qwen14b,implicature,swmimp116,2,4
deepseek14b,implicature,swmimp055,1,1
qwen14b,implicature,swmimp115,1,5
qwen14b,implicature,swmimp114,3,
deepseek14b,implicature,swmimp054,3,
deepseek14b,implicature,swmimp054,2,
qwen14b,implicature,swmimp114,2,
deepseek14b,implicature,swmimp054,1,
qwen14b,implicature,swmimp115,2,5
qwen14b,implicature,swmimp116,1,1
deepseek14b,implicature,swmimp053,3,
qwen14b,implicature,swmimp113,3,1
deepseek14b,implicature,swmimp053,2,4
qwen14b,implicature,swmimp114,1,
deepseek14b,implicature,swmimp053,1,
qwen14b,implicature,swmimp113,2,2
deepseek14b,implicature,swmimp052,3,
qwen14b,implicature,swmimp112,2,5
deepseek14b,implicature,swmimp052,2,
deepseek14b,implicature,swmimp052,1,
qwen14b,implicature,swmimp113,1,1
deepseek14b,implicature,swmimp051,3,1
qwen14b,implicature,swmimp111,2,1
deepseek14b,implicature,swmimp051,2,1
qwen14b,implicature,swmimp112,3,6
deepseek14b,implicature,swmimp051,1,1
qwen14b,implicature,swmimp112,1,3
deepseek14b,implicature,swmimp050,3,
qwen14b,implicature,swmimp111,3,1
qwen14b,implicature,swmimp111,1,1
deepseek14b,implicature,swmimp050,2,6
qwen14b,implicature,swmimp110,3,1
deepseek14b,implicature,swmimp050,1,2
qwen14b,implicature,swmimp110,2,1
deepseek14b,implicature,swmimp049,3,
qwen14b,implicature,swmimp110,1,1
deepseek14b,implicature,swmimp049,2,
qwen14b,implicature,swmimp109,3,
deepseek14b,implicature,swmimp049,1,
qwen14b,implicature,swmimp109,2,
deepseek14b,implicature,swmimp048,3,
qwen14b,implicature,swmimp109,1,
deepseek14b,implicature,swmimp048,2,
qwen14b,implicature,swmimp108,1,
deepseek14b,implicature,swmimp048,1,
deepseek14b,implicature,swmimp047,3,
qwen14b,implicature,swmimp107,3,
deepseek14b,implicature,swmimp047,2,
qwen14b,implicature,swmimp108,2,
deepseek14b,implicature,swmimp047,1,
qwen14b,implicature,swmimp107,2,
deepseek14b,implicature,swmimp046,3,
qwen14b,implicature,swmimp108,3,
qwen14b,implicature,swmimp106,2,1
