model,task,story_id,repetition,accuracy
deepseek14b,implicature,swmimp004,1,1.0
deepseek14b,implicature,swmimp060,1,1.0
deepseek14b,implicature,swmimp166,3,1.0
deepseek14b,implicature,swmimp002,2,0.0
deepseek14b,implicature,swmimp059,3,0.0
deepseek14b,implicature,swmimp166,2,1.0
deepseek14b,false_belief,fb036,1,1.0
deepseek14b,implicature,swmimp003,2,0.0
deepseek14b,implicature,swmimp058,3,0.0
deepseek14b,implicature,swmimp164,3,0.0
deepseek14b,implicature,swmimp068,2,0.0
deepseek14b,implicature,swmimp174,3,0.0
deepseek14b,implicature,swmimp001,3,0.0
deepseek14b,implicature,swmimp059,2,0.0
deepseek14b,implicature,swmimp165,1,0.0
deepseek14b,implicature,swmimp059,1,0.0
deepseek14b,implicature,swmimp001,1,0.0
deepseek14b,implicature,swmimp058,2,0.0
deepseek14b,implicature,swmimp165,2,0.0
deepseek14b,implicature,swmimp002,1,0.0
deepseek14b,implicature,swmimp058,1,0.0
deepseek14b,implicature,swmimp164,2,0.0
deepseek14b,implicature,swmimp165,3,0.0
deepseek14b,faux_pas,sfp010,2,1.0
deepseek14b,implicature,swmimp057,3,0.0
deepseek14b,implicature,swmimp163,3,0.0
deepseek14b,false_belief,fb033,1,1.0
deepseek14b,implicature,swmimp057,2,0.0
deepseek14b,implicature,swmimp163,2,0.0
deepseek14b,faux_pas,sfp009,3,1.0
deepseek14b,implicature,swmimp057,1,0.0
deepseek14b,implicature,swmimp002,3,0.0
deepseek14b,faux_pas,sfp010,3,1.0
deepseek14b,implicature,swmimp056,3,0.0
deepseek14b,implicature,swmimp166,1,1.0
deepseek14b,faux_pas,sfp009,1,1.0
deepseek14b,implicature,swmimp056,2,0.0
deepseek14b,implicature,swmimp163,1,0.0
deepseek14b,implicature,swmimp056,1,0.0
deepseek14b,implicature,swmimp162,1,0.0
deepseek14b,implicature,swmimp164,1,0.0
deepseek14b,faux_pas,sfp008,2,1.0
deepseek14b,implicature,swmimp055,3,1.0
deepseek14b,implicature,swmimp161,3,1.0
deepseek14b,implicature,swmimp001,2,0.0
deepseek14b,faux_pas,sfp009,2,1.0
deepseek14b,implicature,swmimp055,2,1.0
deepseek14b,faux_pas,sfp007,3,1.0
deepseek14b,implicature,swmimp054,2,0.0
deepseek14b,implicature,swmimp162,2,0.0
deepseek14b,implicature,swmimp161,2,0.0
deepseek14b,false_belief,fb035,1,1.0
deepseek14b,implicature,swmimp055,1,0.0
deepseek14b,faux_pas,sfp007,1,1.0
deepseek14b,implicature,swmimp053,3,0.0
deepseek14b,implicature,swmimp161,1,0.0
deepseek14b,faux_pas,sfp010,1,1.0
deepseek14b,faux_pas,sfp008,1,1.0
deepseek14b,implicature,swmimp160,3,0.0
deepseek14b,faux_pas,sfp006,2,1.0
deepseek14b,implicature,swmimp160,2,1.0
deepseek14b,implicature,swmimp054,1,0.0
deepseek14b,implicature,swmimp053,2,0.0
deepseek14b,implicature,swmimp160,1,0.0
deepseek14b,faux_pas,sfp005,3,1.0
deepseek14b,implicature,swmimp053,1,0.0
deepseek14b,implicature,swmimp159,3,1.0
deepseek14b,faux_pas,sfp008,3,1.0
deepseek14b,faux_pas,sfp006,3,1.0
deepseek14b,implicature,swmimp052,3,0.0
deepseek14b,implicature,swmimp159,2,1.0
deepseek14b,faux_pas,sfp005,1,1.0
deepseek14b,implicature,swmimp052,2,0.0
deepseek14b,implicature,swmimp159,1,0.0
deepseek14b,implicature,swmimp052,1,0.0
deepseek14b,implicature,swmimp158,3,1.0
deepseek14b,faux_pas,sfp004,2,1.0
deepseek14b,implicature,swmimp051,3,1.0
deepseek14b,implicature,swmimp158,2,1.0
deepseek14b,faux_pas,sfp007,2,1.0
deepseek14b,faux_pas,sfp005,2,1.0
deepseek14b,implicature,swmimp051,2,1.0
deepseek14b,implicature,swmimp158,1,0.0
deepseek14b,faux_pas,sfp003,3,1.0
deepseek14b,implicature,swmimp051,1,1.0
deepseek14b,implicature,swmimp157,3,0.0
deepseek14b,implicature,swmimp050,3,0.0
deepseek14b,implicature,swmimp157,2,0.0
deepseek14b,faux_pas,sfp003,1,1.0
deepseek14b,implicature,swmimp050,2,0.0
deepseek14b,implicature,swmimp157,1,0.0
deepseek14b,faux_pas,sfp006,1,1.0
deepseek14b,implicature,swmimp049,2,0.0
deepseek14b,faux_pas,sfp004,1,1.0
deepseek14b,implicature,swmimp156,3,1.0
deepseek14b,faux_pas,sfp002,2,1.0
deepseek14b,implicature,swmimp156,2,1.0
deepseek14b,implicature,swmimp050,1,0.0
deepseek14b,implicature,swmimp156,1,0.0
deepseek14b,implicature,swmimp049,3,0.0
deepseek14b,faux_pas,sfp001,3,1.0
deepseek14b,implicature,swmimp049,1,0.0
deepseek14b,implicature,swmimp155,3,1.0
deepseek14b,faux_pas,sfp001,1,1.0
deepseek14b,implicature,swmimp048,3,0.0
deepseek14b,implicature,swmimp154,3,0.0
deepseek14b,implicature,swmimp048,2,0.0
deepseek14b,false_belief,sfp020,2,1.0
deepseek14b,implicature,swmimp048,1,0.0
deepseek14b,implicature,swmimp155,1,1.0
deepseek14b,faux_pas,sfp002,1,1.0
deepseek14b,faux_pas,sfp001,2,1.0
deepseek14b,implicature,swmimp047,3,0.0
deepseek14b,implicature,swmimp154,2,1.0
deepseek14b,faux_pas,sfp002,3,1.0
deepseek14b,implicature,swmimp162,3,0.0
deepseek14b,faux_pas,sfp003,2,1.0
deepseek14b,implicature,swmimp047,2,0.0
deepseek14b,implicature,swmimp154,1,0.0
deepseek14b,faux_pas,sfp004,3,1.0
deepseek14b,implicature,swmimp047,1,0.0
deepseek14b,implicature,swmimp153,3,1.0
deepseek14b,false_belief,sfp020,3,1.0
deepseek14b,implicature,swmimp046,3,0.0
deepseek14b,implicature,swmimp153,2,1.0
deepseek14b,false_belief,sfp019,2,0.0
deepseek14b,implicature,swmimp046,2,0.0
deepseek14b,implicature,swmimp153,1,0.0
deepseek14b,false_belief,fb057,2,1.0
deepseek14b,implicature,swmimp046,1,0.0
deepseek14b,implicature,swmimp152,2,1.0
deepseek14b,implicature,swmimp045,1,0.0
deepseek14b,false_belief,sfp018,2,0.0
deepseek14b,implicature,swmimp054,3,0.0
deepseek14b,implicature,swmimp152,3,0.0
deepseek14b,implicature,swmimp044,3,0.0
deepseek14b,false_belief,sfp019,3,0.0
deepseek14b,implicature,swmimp151,2,0.0
deepseek14b,false_belief,sfp017,3,1.0
deepseek14b,false_belief,sfp018,3,1.0
deepseek14b,implicature,swmimp045,2,0.0
deepseek14b,implicature,swmimp151,3,0.0
deepseek14b,implicature,swmimp155,2,1.0
deepseek14b,false_belief,sfp017,1,1.0
deepseek14b,implicature,swmimp044,2,0.0
deepseek14b,implicature,swmimp150,2,0.0
deepseek14b,implicature,swmimp044,1,1.0
deepseek14b,implicature,swmimp150,3,1.0
deepseek14b,false_belief,sfp016,2,1.0
deepseek14b,implicature,swmimp043,3,0.0
deepseek14b,implicature,swmimp149,3,0.0
deepseek14b,implicature,swmimp152,1,1.0
deepseek14b,false_belief,sfp017,2,1.0
deepseek14b,implicature,swmimp043,2,0.0
deepseek14b,false_belief,sfp015,3,1.0
deepseek14b,implicature,swmimp043,1,0.0
deepseek14b,implicature,swmimp149,2,1.0
deepseek14b,implicature,swmimp150,1,0.0
deepseek14b,implicature,swmimp042,3,0.0
deepseek14b,implicature,swmimp148,3,0.0
deepseek14b,implicature,swmimp151,1,0.0
deepseek14b,false_belief,sfp015,1,1.0
deepseek14b,implicature,swmimp042,2,0.0
deepseek14b,implicature,swmimp148,2,0.0
deepseek14b,false_belief,sfp018,1,0.0
deepseek14b,false_belief,sfp016,1,1.0
deepseek14b,implicature,swmimp042,1,0.0
deepseek14b,false_belief,sfp013,2,1.0
deepseek14b,implicature,swmimp041,3,0.0
deepseek14b,implicature,swmimp040,3,0.0
deepseek14b,implicature,swmimp148,1,0.0
deepseek14b,false_belief,sfp013,3,0.0
deepseek14b,implicature,swmimp147,3,1.0
deepseek14b,false_belief,sfp016,3,1.0
deepseek14b,implicature,swmimp041,2,0.0
deepseek14b,false_belief,sfp014,1,1.0
deepseek14b,implicature,swmimp147,2,0.0
deepseek14b,false_belief,sfp014,3,1.0
deepseek14b,implicature,swmimp041,1,0.0
deepseek14b,implicature,swmimp040,2,0.0
deepseek14b,implicature,swmimp147,1,0.0
deepseek14b,false_belief,sfp013,1,1.0
deepseek14b,implicature,swmimp040,1,0.0
deepseek14b,implicature,swmimp146,3,1.0
deepseek14b,false_belief,sfp011,1,1.0
deepseek14b,implicature,swmimp145,1,0.0
deepseek14b,implicature,swmimp039,3,0.0
deepseek14b,implicature,swmimp144,3,0.0
deepseek14b,false_belief,sfp015,2,1.0
deepseek14b,false_belief,sfp012,1,0.0
deepseek14b,implicature,swmimp039,2,0.0
deepseek14b,false_belief,sfp011,3,1.0
deepseek14b,implicature,swmimp149,1,0.0
deepseek14b,implicature,swmimp039,1,1.0
deepseek14b,implicature,swmimp145,2,1.0
deepseek14b,implicature,swmimp038,3,0.0
deepseek14b,implicature,swmimp038,2,0.0
deepseek14b,implicature,swmimp144,2,1.0
deepseek14b,implicature,swmimp145,3,1.0
deepseek14b,false_belief,sfp014,2,1.0
deepseek14b,implicature,swmimp038,1,0.0
deepseek14b,false_belief,sfp012,2,0.0
deepseek14b,implicature,swmimp037,3,0.0
deepseek14b,implicature,swmimp146,1,1.0
deepseek14b,false_belief,fb060,2,1.0
deepseek14b,implicature,swmimp037,2,0.0
deepseek14b,implicature,swmimp144,1,0.0
deepseek14b,false_belief,fb049,1,1.0
deepseek14b,false_belief,fb059,3,1.0
deepseek14b,implicature,swmimp037,1,0.0
deepseek14b,implicature,swmimp143,3,1.0
deepseek14b,false_belief,sfp011,2,1.0
deepseek14b,false_belief,fb059,2,1.0
deepseek14b,implicature,swmimp036,3,0.0
deepseek14b,implicature,swmimp143,2,1.0
deepseek14b,false_belief,fb060,3,1.0
deepseek14b,implicature,swmimp036,2,0.0
deepseek14b,implicature,swmimp143,1,1.0
deepseek14b,implicature,swmimp036,1,0.0
deepseek14b,implicature,swmimp142,3,0.0
deepseek14b,false_belief,fb057,3,1.0
deepseek14b,implicature,swmimp035,3,0.0
deepseek14b,implicature,swmimp142,1,0.0
deepseek14b,false_belief,fb058,2,1.0
deepseek14b,implicature,swmimp035,2,0.0
deepseek14b,implicature,swmimp141,1,1.0
deepseek14b,false_belief,fb058,1,1.0
deepseek14b,implicature,swmimp035,1,0.0
deepseek14b,implicature,swmimp142,2,0.0
deepseek14b,implicature,swmimp141,3,0.0
deepseek14b,implicature,swmimp034,3,0.0
deepseek14b,false_belief,fb055,3,1.0
deepseek14b,implicature,swmimp034,2,0.0
deepseek14b,implicature,swmimp141,2,1.0
deepseek14b,false_belief,fb058,3,1.0
deepseek14b,implicature,swmimp146,2,0.0
deepseek14b,false_belief,fb056,3,1.0
deepseek14b,implicature,swmimp034,1,0.0
deepseek14b,implicature,swmimp140,3,1.0
deepseek14b,implicature,swmimp033,3,1.0
deepseek14b,implicature,swmimp140,2,1.0
deepseek14b,implicature,swmimp033,2,1.0
deepseek14b,implicature,swmimp139,3,0.0
deepseek14b,false_belief,fb055,1,0.0
deepseek14b,implicature,swmimp033,1,0.0
deepseek14b,implicature,swmimp140,1,0.0
deepseek14b,false_belief,fb055,2,1.0
deepseek14b,implicature,swmimp032,3,0.0
deepseek14b,implicature,swmimp139,1,0.0
deepseek14b,implicature,swmimp031,3,0.0
deepseek14b,implicature,swmimp139,2,0.0
deepseek14b,false_belief,fb054,2,1.0
deepseek14b,implicature,swmimp045,3,0.0
deepseek14b,false_belief,fb053,1,1.0
deepseek14b,implicature,swmimp138,2,0.0
deepseek14b,false_belief,fb056,2,1.0
deepseek14b,implicature,swmimp032,2,0.0
deepseek14b,false_belief,fb054,1,1.0
deepseek14b,implicature,swmimp138,3,1.0
deepseek14b,false_belief,fb057,1,1.0
deepseek14b,implicature,swmimp032,1,0.0
deepseek14b,false_belief,fb056,1,1.0
deepseek14b,implicature,swmimp031,2,0.0
deepseek14b,implicature,swmimp137,3,0.0
deepseek14b,false_belief,fb059,1,1.0
deepseek14b,implicature,swmimp031,1,0.0
deepseek14b,implicature,swmimp137,1,0.0
deepseek14b,false_belief,fb053,2,1.0
deepseek14b,implicature,swmimp030,3,1.0
deepseek14b,false_belief,fb053,3,0.0
deepseek14b,implicature,swmimp030,2,1.0
deepseek14b,implicature,swmimp138,1,0.0
deepseek14b,implicature,swmimp136,3,0.0
deepseek14b,implicature,swmimp030,1,1.0
deepseek14b,implicature,swmimp137,2,1.0
deepseek14b,false_belief,fb050,3,1.0
deepseek14b,implicature,swmimp029,3,0.0
deepseek14b,implicature,swmimp135,3,1.0
deepseek14b,implicature,swmimp029,2,0.0
deepseek14b,implicature,swmimp136,1,0.0
deepseek14b,implicature,swmimp029,1,0.0
deepseek14b,false_belief,fb051,2,1.0
deepseek14b,implicature,swmimp028,3,0.0
deepseek14b,implicature,swmimp135,1,1.0
deepseek14b,implicature,swmimp028,2,0.0
deepseek14b,implicature,swmimp135,2,1.0
deepseek14b,implicature,swmimp028,1,0.0
deepseek14b,implicature,swmimp134,3,1.0
deepseek14b,false_belief,fb048,2,1.0
deepseek14b,implicature,swmimp027,3,0.0
deepseek14b,implicature,swmimp134,1,1.0
deepseek14b,false_belief,sfp019,1,0.0
deepseek14b,implicature,swmimp133,2,0.0
deepseek14b,false_belief,fb044,2,1.0
deepseek14b,implicature,swmimp027,2,0.0
deepseek14b,false_belief,fb048,3,1.0
deepseek14b,implicature,swmimp027,1,1.0
deepseek14b,false_belief,fb050,2,1.0
deepseek14b,implicature,swmimp134,2,1.0
deepseek14b,implicature,swmimp026,3,0.0
deepseek14b,implicature,swmimp136,2,0.0
deepseek14b,false_belief,fb051,1,0.0
deepseek14b,implicature,swmimp133,3,0.0
deepseek14b,false_belief,fb051,3,1.0
deepseek14b,implicature,swmimp026,2,0.0
deepseek14b,implicature,swmimp133,1,0.0
deepseek14b,false_belief,fb050,1,1.0
deepseek14b,false_belief,fb052,1,1.0
deepseek14b,implicature,swmimp026,1,0.0
deepseek14b,implicature,swmimp132,3,1.0
deepseek14b,false_belief,fb046,1,0.0
deepseek14b,implicature,swmimp025,3,1.0
deepseek14b,implicature,swmimp132,2,1.0
deepseek14b,false_belief,fb054,3,1.0
deepseek14b,implicature,swmimp025,2,0.0
deepseek14b,implicature,swmimp132,1,1.0
deepseek14b,false_belief,fb045,2,1.0
deepseek14b,implicature,swmimp025,1,1.0
deepseek14b,implicature,swmimp131,3,0.0
deepseek14b,false_belief,fb052,3,1.0
deepseek14b,false_belief,fb060,1,1.0
deepseek14b,implicature,swmimp024,3,0.0
deepseek14b,implicature,swmimp131,2,0.0
deepseek14b,implicature,swmimp024,2,0.0
deepseek14b,implicature,swmimp131,1,0.0
deepseek14b,implicature,swmimp011,3,1.0
deepseek14b,implicature,swmimp024,1,0.0
deepseek14b,implicature,swmimp130,2,0.0
deepseek14b,false_belief,fb047,1,1.0
deepseek14b,implicature,swmimp023,3,0.0
deepseek14b,implicature,swmimp130,1,0.0
deepseek14b,false_belief,fb049,3,1.0
deepseek14b,false_belief,fb045,1,1.0
deepseek14b,implicature,swmimp023,2,0.0
deepseek14b,implicature,swmimp129,1,0.0
deepseek14b,implicature,swmimp023,1,0.0
deepseek14b,false_belief,fb047,3,1.0
deepseek14b,implicature,swmimp130,3,0.0
deepseek14b,implicature,swmimp022,3,1.0
deepseek14b,implicature,swmimp129,2,0.0
deepseek14b,false_belief,fb039,3,1.0
deepseek14b,implicature,swmimp129,3,0.0
deepseek14b,implicature,swmimp022,2,0.0
deepseek14b,false_belief,fb040,2,1.0
deepseek14b,implicature,swmimp022,1,0.0
deepseek14b,implicature,swmimp128,2,0.0
deepseek14b,false_belief,fb046,3,0.0
deepseek14b,implicature,swmimp021,3,0.0
deepseek14b,implicature,swmimp128,3,0.0
deepseek14b,false_belief,fb046,2,1.0
deepseek14b,implicature,swmimp021,2,0.0
deepseek14b,implicature,swmimp127,3,1.0
deepseek14b,implicature,swmimp021,1,0.0
deepseek14b,implicature,swmimp128,1,0.0
deepseek14b,false_belief,fb047,2,1.0
deepseek14b,false_belief,fb045,3,1.0
deepseek14b,implicature,swmimp020,3,0.0
deepseek14b,implicature,swmimp127,1,1.0
deepseek14b,false_belief,fb042,3,1.0
deepseek14b,implicature,swmimp020,2,0.0
deepseek14b,implicature,swmimp127,2,1.0
deepseek14b,implicature,swmimp020,1,0.0
deepseek14b,implicature,swmimp126,3,0.0
deepseek14b,false_belief,fb042,1,1.0
deepseek14b,implicature,swmimp019,3,1.0
deepseek14b,implicature,swmimp126,2,0.0
deepseek14b,false_belief,fb040,3,1.0
deepseek14b,implicature,swmimp126,1,0.0
deepseek14b,implicature,swmimp019,2,0.0
deepseek14b,implicature,swmimp125,2,1.0
deepseek14b,false_belief,fb043,1,1.0
deepseek14b,implicature,swmimp019,1,1.0
deepseek14b,false_belief,fb043,2,1.0
deepseek14b,implicature,swmimp018,3,0.0
deepseek14b,false_belief,fb042,2,1.0
deepseek14b,implicature,swmimp018,2,0.0
deepseek14b,implicature,swmimp124,3,0.0
deepseek14b,false_belief,fb041,2,1.0
deepseek14b,implicature,swmimp124,2,0.0
deepseek14b,false_belief,fb040,1,1.0
deepseek14b,implicature,swmimp018,1,0.0
deepseek14b,false_belief,fb044,1,1.0
deepseek14b,implicature,swmimp017,3,0.0
deepseek14b,implicature,swmimp125,1,1.0
deepseek14b,implicature,swmimp017,2,0.0
deepseek14b,implicature,swmimp124,1,0.0
deepseek14b,implicature,swmimp125,3,1.0
deepseek14b,implicature,swmimp017,1,0.0
deepseek14b,implicature,swmimp123,3,1.0
deepseek14b,false_belief,fb052,2,1.0
deepseek14b,false_belief,fb041,1,1.0
deepseek14b,implicature,swmimp016,3,0.0
deepseek14b,implicature,swmimp123,2,1.0
deepseek14b,implicature,swmimp016,2,0.0
deepseek14b,implicature,swmimp123,1,1.0
deepseek14b,implicature,swmimp016,1,0.0
deepseek14b,implicature,swmimp122,2,1.0
deepseek14b,implicature,swmimp011,1,1.0
deepseek14b,implicature,swmimp015,3,0.0
deepseek14b,implicature,swmimp122,3,1.0
deepseek14b,false_belief,fb041,3,1.0
deepseek14b,false_belief,fb037,2,1.0
deepseek14b,implicature,swmimp015,2,0.0
deepseek14b,implicature,swmimp122,1,1.0
deepseek14b,false_belief,fb038,3,1.0
deepseek14b,implicature,swmimp015,1,0.0
deepseek14b,implicature,swmimp121,3,0.0
deepseek14b,implicature,swmimp014,3,0.0
deepseek14b,implicature,swmimp121,1,0.0
deepseek14b,implicature,swmimp014,2,0.0
deepseek14b,implicature,swmimp120,3,1.0
deepseek14b,false_belief,fb038,1,1.0
deepseek14b,false_belief,fb038,2,1.0
deepseek14b,implicature,swmimp014,1,0.0
deepseek14b,implicature,swmimp120,2,0.0
deepseek14b,false_belief,sfp012,3,0.0
deepseek14b,false_belief,fb048,1,1.0
deepseek14b,implicature,swmimp013,3,0.0
deepseek14b,implicature,swmimp119,3,0.0
deepseek14b,implicature,swmimp013,2,0.0
deepseek14b,false_belief,fb049,2,1.0
deepseek14b,false_belief,fb039,2,1.0
deepseek14b,implicature,swmimp013,1,0.0
deepseek14b,implicature,swmimp120,1,1.0
deepseek14b,false_belief,fb043,3,1.0
deepseek14b,implicature,swmimp012,3,1.0
deepseek14b,implicature,swmimp119,2,0.0
deepseek14b,false_belief,fb037,3,1.0
deepseek14b,implicature,swmimp121,2,0.0
deepseek14b,implicature,swmimp012,2,1.0
deepseek14b,false_belief,fb039,1,1.0
deepseek14b,implicature,swmimp012,1,1.0
deepseek14b,implicature,swmimp119,1,0.0
deepseek14b,implicature,swmimp118,2,1.0
deepseek14b,false_belief,fb044,3,1.0
deepseek14b,implicature,swmimp011,2,1.0
deepseek14b,implicature,swmimp117,2,0.0
deepseek14b,false_belief,fb029,3,1.0
deepseek14b,implicature,swmimp118,3,0.0
deepseek14b,implicature,swmimp117,3,0.0
deepseek14b,false_belief,fb030,2,0.0
deepseek14b,implicature,swmimp116,3,1.0
deepseek14b,false_belief,fb029,1,1.0
deepseek14b,implicature,swmimp117,1,0.0
deepseek14b,false_belief,fb030,3,1.0
deepseek14b,false_belief,fb030,1,1.0
deepseek14b,implicature,swmimp116,1,1.0
deepseek14b,false_belief,fb028,2,1.0
deepseek14b,implicature,swmimp118,1,1.0
deepseek14b,implicature,swmimp116,2,1.0
deepseek14b,implicature,swmimp115,2,1.0
deepseek14b,false_belief,fb027,3,0.0
deepseek14b,implicature,swmimp115,3,0.0
deepseek14b,false_belief,fb029,2,1.0
deepseek14b,false_belief,fb028,3,1.0
deepseek14b,implicature,swmimp114,2,0.0
deepseek14b,false_belief,fb027,1,1.0
deepseek14b,implicature,swmimp115,1,0.0
deepseek14b,false_belief,fb026,2,1.0
deepseek14b,implicature,swmimp114,3,0.0
deepseek14b,implicature,swmimp114,1,0.0
deepseek14b,false_belief,fb028,1,1.0
deepseek14b,false_belief,fb027,2,1.0
deepseek14b,implicature,swmimp113,3,0.0
deepseek14b,false_belief,fb025,3,1.0
deepseek14b,implicature,swmimp113,2,1.0
deepseek14b,implicature,swmimp113,1,1.0
deepseek14b,false_belief,fb025,1,1.0
deepseek14b,implicature,swmimp112,3,1.0
deepseek14b,false_belief,fb026,3,1.0
deepseek14b,false_belief,fb026,1,0.0
deepseek14b,false_belief,fb024,2,0.0
deepseek14b,implicature,swmimp111,3,1.0
deepseek14b,implicature,swmimp112,1,0.0
deepseek14b,false_belief,fb023,3,0.0
deepseek14b,implicature,swmimp111,1,1.0
deepseek14b,false_belief,fb025,2,1.0
deepseek14b,false_belief,fb024,3,1.0
deepseek14b,implicature,swmimp111,2,1.0
deepseek14b,false_belief,fb023,1,1.0
deepseek14b,implicature,swmimp110,2,1.0
deepseek14b,false_belief,fb022,2,1.0
deepseek14b,implicature,swmimp110,3,1.0
deepseek14b,false_belief,fb024,1,1.0
deepseek14b,false_belief,fb023,2,0.0
deepseek14b,implicature,swmimp110,1,1.0
deepseek14b,false_belief,fb021,3,1.0
deepseek14b,implicature,swmimp112,2,0.0
deepseek14b,implicature,swmimp109,3,0.0
deepseek14b,implicature,swmimp109,2,0.0
deepseek14b,implicature,swmimp108,3,0.0
deepseek14b,implicature,swmimp109,1,0.0
deepseek14b,implicature,swmimp107,1,0.0
deepseek14b,false_belief,fb022,1,1.0
deepseek14b,false_belief,fb020,3,1.0
deepseek14b,implicature,swmimp108,2,0.0
deepseek14b,implicature,swmimp106,3,0.0
deepseek14b,false_belief,fb019,3,0.0
deepseek14b,false_belief,fb022,3,0.0
deepseek14b,false_belief,fb021,1,1.0
deepseek14b,implicature,swmimp107,3,0.0
deepseek14b,false_belief,fb019,1,0.0
deepseek14b,implicature,swmimp108,1,0.0
deepseek14b,false_belief,fb021,2,1.0
deepseek14b,implicature,swmimp107,2,0.0
deepseek14b,false_belief,fb020,1,1.0
deepseek14b,implicature,swmimp106,1,0.0
deepseek14b,false_belief,fb018,3,1.0
deepseek14b,implicature,swmimp105,1,0.0
deepseek14b,implicature,swmimp104,3,0.0
deepseek14b,false_belief,fb018,1,1.0
deepseek14b,false_belief,fb031,1,1.0
deepseek14b,implicature,swmimp104,2,0.0
deepseek14b,false_belief,fb017,2,1.0
deepseek14b,implicature,swmimp105,2,1.0
deepseek14b,false_belief,fb018,2,1.0
deepseek14b,implicature,swmimp103,2,0.0
deepseek14b,false_belief,fb016,3,0.0
deepseek14b,implicature,swmimp102,1,0.0
deepseek14b,false_belief,fb019,2,1.0
deepseek14b,implicature,swmimp104,1,0.0
deepseek14b,false_belief,fb016,1,1.0
deepseek14b,false_belief,fb017,3,1.0
deepseek14b,false_belief,fb017,1,1.0
deepseek14b,implicature,swmimp102,3,0.0
deepseek14b,false_belief,fb015,2,1.0
deepseek14b,implicature,swmimp101,3,0.0
deepseek14b,false_belief,fb014,3,0.0
deepseek14b,implicature,swmimp102,2,0.0
deepseek14b,false_belief,fb016,2,1.0
deepseek14b,implicature,swmimp103,1,0.0
